Gene	Description	Ranks	Rank/Score
ALOX12		-0.11	-0.11
PPP2R1A		-0.11	-0.11
GBA3		-0.11	-0.11
XDH		-0.11	-0.11
ADSS1		-0.11	-0.11
HAO2		-0.11	-0.11
RENBP		-0.12	-0.12
SDSL		-0.12	-0.12
PHKB		-0.12	-0.12
PLPP6		-0.12	-0.12
INPP4A		-0.12	-0.12
LCAT		-0.12	-0.12
CTBS		-0.12	-0.12
PNPLA6		-0.12	-0.12
NOCT		-0.12	-0.12
MAPKAPK2		-0.12	-0.12
FADS3		-0.12	-0.12
COA5		-0.12	-0.12
CYB5R4		-0.12	-0.12
DGKD		-0.12	-0.12
AMPD2		-0.12	-0.12
NEIL2		-0.12	-0.12
INPP5K		-0.12	-0.12
NAT8L		-0.13	-0.12
ATP7A		-0.13	-0.13
NUDT18		-0.13	-0.13
DEGS1		-0.13	-0.13
MOCS3		-0.13	-0.13
HACL1		-0.13	-0.13
ATF4		-0.14	-0.14
ASPG		-0.14	-0.14
DGKZ		-0.14	-0.14
CPT1B		-0.14	-0.14
FMO5		-0.14	-0.14
PIP5K1C		-0.14	-0.14
FPGT		-0.14	-0.14
B3GAT2		-0.14	-0.14
LYRM2		-0.14	-0.14
IDNK		-0.14	-0.14
NUDT1		-0.14	-0.14
MTMR3		-0.14	-0.14
ACAA1		-0.14	-0.14
MTHFR		-0.14	-0.14
ABHD2		-0.15	-0.15
OAT		-0.15	-0.15
PGAP1		-0.15	-0.15
KCNAB2		-0.15	-0.15
SLC44A1		-0.15	-0.15
APOBEC3C		-0.15	-0.15
TPR		-0.15	-0.15
UQCC1		-0.15	-0.15
ATP5F1D		-0.16	-0.16
PISD		-0.16	-0.16
NME5		-0.16	-0.16
NUP54		-0.16	-0.16
PFKP		-0.16	-0.16
FN3K		-0.16	-0.16
PGLS		-0.16	-0.16
MVD		-0.16	-0.16
SRD5A3		-0.16	-0.16
MTMR1		-0.16	-0.16
BLOC1S1		-0.16	-0.16
OPA1		-0.17	-0.17
FAAH		-0.17	-0.17
PARP9		-0.17	-0.17
SLC46A1		-0.17	-0.17
PIGP		-0.17	-0.17
RAE1		-0.17	-0.17
FCSK		-0.17	-0.17
ACADS		-0.17	-0.17
NUDT14		-0.17	-0.17
MPPE1		-0.18	-0.18
POM121C		-0.18	-0.18
DGKE		-0.18	-0.18
DHFR2		-0.18	-0.18
GMPR2		-0.18	-0.18
LPCAT2		-0.18	-0.18
DPEP1		-0.18	-0.18
TTC7A		-0.18	-0.18
NDUFA11		-0.18	-0.18
PLA2G4C		-0.18	-0.18
TGFB1		-0.18	-0.18
SLC37A4		-0.18	-0.18
NME2		-0.18	-0.18
ACBD4		-0.18	-0.18
PMVK		-0.19	-0.19
MTMR7		-0.19	-0.19
OSBP		-0.19	-0.19
NUP210		-0.19	-0.19
PYCR1		-0.19	-0.19
BTD		-0.19	-0.19
NUDT11		-0.19	-0.19
THNSL2		-0.19	-0.19
NUP214		-0.19	-0.19
FASN		-0.2	-0.2
ACOX3		-0.2	-0.2
HACD2		-0.2	-0.2
LRP5		-0.2	-0.2
OSBPL2		-0.2	-0.2
SLC2A1		-0.2	-0.2
CDS1		-0.2	-0.2
GUK1		-0.2	-0.2
PIP5K1A		-0.21	-0.21
PLA2G4B		-0.21	-0.21
SOCS7		-0.21	-0.21
SDHAF1		-0.21	-0.21
PKM		-0.21	-0.21
MAT1A		-0.22	-0.22
ACOT2		-0.22	-0.22
TKFC		-0.22	-0.22
ST6GAL1		-0.22	-0.22
APOD		-0.22	-0.22
RRM2B		-0.22	-0.22
PDHX		-0.22	-0.22
SLC27A1		-0.22	-0.22
UVRAG		-0.22	-0.22
COX7A2L		-0.22	-0.22
PHKA1		-0.23	-0.23
NDUFAF3		-0.23	-0.23
FUT1		-0.23	-0.23
ST3GAL4		-0.23	-0.23
MLYCD		-0.23	-0.23
SMPD1		-0.23	-0.23
KYAT1		-0.23	-0.23
CASD1		-0.23	-0.23
ECHDC2		-0.23	-0.23
SOCS5		-0.23	-0.23
GATD1		-0.24	-0.24
SLC25A22		-0.24	-0.24
GCLC		-0.24	-0.24
DGKQ		-0.24	-0.24
MTHFS		-0.24	-0.24
HLCS		-0.24	-0.24
ATP1A2		-0.24	-0.24
ACSM2A		-0.24	-0.24
CMAHP		-0.24	-0.24
SLC16A1		-0.25	-0.25
CYP26B1		-0.25	-0.25
ENPP4		-0.25	-0.25
APOBEC3G		-0.25	-0.25
CMPK2		-0.25	-0.25
PTDSS2		-0.25	-0.25
SULT1A1		-0.25	-0.25
PCK1		-0.26	-0.26
OSBPL6		-0.26	-0.26
NDUFC1		-0.26	-0.26
NUP50		-0.26	-0.26
FAAH2		-0.26	-0.26
ACSL3		-0.27	-0.27
BCKDK		-0.27	-0.27
PDPR		-0.27	-0.27
B3GAT3		-0.27	-0.27
TDG		-0.27	-0.27
SOCS6		-0.27	-0.27
MTR		-0.27	-0.27
STMP1		-0.27	-0.27
GTPBP1		-0.27	-0.27
ILVBL		-0.27	-0.27
ELOVL5		-0.28	-0.28
HAS3		-0.28	-0.28
NUP153		-0.28	-0.28
DMAC2L		-0.28	-0.28
CRAT		-0.28	-0.28
ALDOB		-0.28	-0.28
B3GALT1		-0.28	-0.28
PIK3R4		-0.28	-0.28
PANK4		-0.28	-0.28
SLC23A2		-0.28	-0.28
SOCS3		-0.29	-0.29
FPGS		-0.29	-0.29
NUBPL		-0.29	-0.29
PARP10		-0.3	-0.3
CDO1		-0.3	-0.3
AASDHPPT		-0.3	-0.3
CYP2E1		-0.3	-0.3
NMRK1		-0.3	-0.3
PIGC		-0.3	-0.3
GSTM2		-0.31	-0.31
PHKA2		-0.31	-0.31
RGN		-0.31	-0.31
PGAP4		-0.31	-0.31
ABAT		-0.31	-0.31
ADCY5		-0.31	-0.31
IL4I1		-0.31	-0.31
POR		-0.32	-0.32
ADI1		-0.32	-0.32
BRAT1		-0.32	-0.32
IREB2		-0.32	-0.32
ST3GAL2		-0.33	-0.33
DCTD		-0.33	-0.33
GNPTG		-0.33	-0.33
SOCS2		-0.33	-0.33
SMIM20		-0.33	-0.33
RXRA		-0.34	-0.34
PIGG		-0.34	-0.34
NDUFB11		-0.34	-0.34
ST6GALNAC3		-0.34	-0.34
CRTC2		-0.34	-0.34
ALDOA		-0.34	-0.34
SMPDL3A		-0.34	-0.34
PGM1		-0.34	-0.34
ALKBH7		-0.35	-0.35
AK1		-0.35	-0.35
INPPL1		-0.35	-0.35
DPM3		-0.35	-0.35
NDST1		-0.35	-0.35
CLPX		-0.36	-0.36
NDUFS6		-0.37	-0.37
PI4KA		-0.37	-0.37
IDUA		-0.37	-0.37
LPIN3		-0.37	-0.37
PIK3C2B		-0.37	-0.37
GAL3ST3		-0.37	-0.37
NDUFS7		-0.37	-0.37
OSBPL1A		-0.38	-0.38
NMNAT3		-0.39	-0.39
ALDH5A1		-0.39	-0.39
TBXAS1		-0.39	-0.39
MGAT4A		-0.39	-0.39
VAPA		-0.39	-0.39
SLC25A27		-0.4	-0.4
PYGM		-0.4	-0.4
GCNT3		-0.4	-0.4
PLOD2		-0.41	-0.41
DPM1		-0.41	-0.41
COX19		-0.41	-0.41
PPCS		-0.42	-0.42
H6PD		-0.43	-0.43
ACOX2		-0.43	-0.43
DMAC1		-0.44	-0.44
SLC44A5		-0.44	-0.44
EGLN1		-0.44	-0.44
FDXR		-0.44	-0.44
PCYT1B		-0.44	-0.44
MAN2C1		-0.44	-0.44
GCK		-0.45	-0.45
ACOT8		-0.45	-0.45
PDK2		-0.46	-0.46
NAXD		-0.46	-0.46
PC		-0.46	-0.46
ALDOC		-0.46	-0.46
OCA2		-0.46	-0.46
AMPD3		-0.46	-0.46
VPS9D1		-0.46	-0.46
NPR1		-0.46	-0.46
LIPH		-0.47	-0.47
ABCD1		-0.47	-0.47
BCAT1		-0.47	-0.47
PANK3		-0.48	-0.48
PTGES2		-0.48	-0.48
NPR2		-0.48	-0.48
ENOX2		-0.48	-0.48
PDK3		-0.49	-0.49
AACS		-0.49	-0.49
G6PC3		-0.49	-0.49
ST3GAL6		-0.5	-0.5
MBOAT1		-0.5	-0.5
MBOAT7		-0.51	-0.51
MRI1		-0.51	-0.51
HK2		-0.52	-0.52
AGPAT2		-0.52	-0.52
UROS		-0.53	-0.53
PIGS		-0.53	-0.53
SERINC3		-0.54	-0.54
ST3GAL1		-0.54	-0.54
ECHDC3		-0.56	-0.56
NDUFS8		-0.56	-0.56
IP6K1		-0.56	-0.56
CHST15		-0.57	-0.57
GPX1		-0.57	-0.57
GLUL		-0.57	-0.57
GPD1L		-0.57	-0.57
SLC5A8		-0.57	-0.57
DGAT1		-0.58	-0.58
FUT8		-0.58	-0.58
ATP5IF1		-0.58	-0.58
NDOR1		-0.58	-0.58
GGT5		-0.59	-0.59
ADCY7		-0.6	-0.6
PLCG2		-0.6	-0.6
TK2		-0.61	-0.61
PRODH2		-0.61	-0.61
GMDS		-0.61	-0.61
EPHX1		-0.62	-0.62
IMPDH1		-0.62	-0.62
GALK1		-0.63	-0.63
GPHN		-0.64	-0.64
OSBPL9		-0.64	-0.64
IRS2		-0.64	-0.64
BAD		-0.65	-0.65
CYP7B1		-0.66	-0.66
ATG14		-0.66	-0.66
FOXK2		-0.66	-0.66
GSTA1		-0.67	-0.67
TTC7B		-0.67	-0.67
SERINC5		-0.67	-0.67
PID1		-0.71	-0.71
B3GAT1		-0.76	-0.76
IP6K2		-0.77	-0.77
GAA		-0.78	-0.78
AASDH		-0.79	-0.79
CKB		-0.79	-0.79
ADGRF5		-0.8	-0.8
PRDX6		-0.8	-0.8
D2HGDH		-0.8	-0.8
PIK3CB		-0.81	-0.81
PLA2G6		-0.82	-0.82
DHRS2		-0.82	-0.82
SCD5		-0.83	-0.83
GFPT2		-0.83	-0.83
COX5B		-0.91	-0.91
NME3		-0.93	-0.93
CDIPT		-0.94	-0.94
CARNS1		-0.95	-0.95
GPAA1		-0.97	-0.97
LIPC		-0.99	-0.99
FA2H		-1.02	-1.02
NDUFB7		-1.03	-1.03
TPK1		-1.03	-1.03
DPYSL3		-1.04	-1.04
PIGT		-1.05	-1.05
ADGRF1		-1.24	-1.24
PPP1R3C		-1.27	-1.27
PTGS1		-1.31	-1.31
GLYAT		-1.35	-1.35
SYNJ2		-1.39	-1.39
SLC25A6		-1.6	-1.6
CYP1B1		-2.16	-2.16
A4GNT			NaN
ABCA8			NaN
ABCB11			NaN
ABCD2			NaN
ABCG2			NaN
ABHD1			NaN
ABHD12B			NaN
ABHD16B			NaN
ACADL			NaN
ACOT12			NaN
ACOT6			NaN
ACOT7L			NaN
ACOXL			NaN
ACSBG1			NaN
ACSBG2			NaN
ACSM1			NaN
ACSM4			NaN
ACSM5			NaN
ACSM6			NaN
ADA			NaN
ADCY10			NaN
ADCY8			NaN
ADH1A			NaN
ADH1B			NaN
ADH1C			NaN
ADH4			NaN
ADH7			NaN
ADIPOQ			NaN
ADRB3			NaN
ADTRP			NaN
AGXT			NaN
AK5			NaN
AKR1C4			NaN
AKR1D1			NaN
ALDH1A3			NaN
ALDH1L2			NaN
ALOX12B			NaN
ALOX15			NaN
ALOX15B			NaN
ALOX5			NaN
ALOX5AP			NaN
ALOXE3			NaN
AMPD1			NaN
AMT			NaN
AMY1A			NaN
AMY1B			NaN
AMY1C			NaN
AMY2A			NaN
AOAH			NaN
APOA2			NaN
ARG1			NaN
ARHGAP11B			NaN
ART4			NaN
AS3MT			NaN
ATP5G1			NaN
ATP5H			NaN
ATP5J			NaN
ATP5MGL			NaN
ATP5MJ			NaN
ATP5MK			NaN
ATP6			NaN
ATP8			NaN
AVP			NaN
AWAT1			NaN
B3GALT2			NaN
B3GALT5			NaN
B4GALNT1			NaN
B4GALNT2			NaN
BAAT			NaN
BCKDHA			NaN
BMX			NaN
BRS3			NaN
CASP1			NaN
CD36			NaN
CD38			NaN
CDA			NaN
CES1			NaN
CHAT			NaN
CHST1			NaN
CHST7			NaN
CKM			NaN
CKMT1B			NaN
CKMT2			NaN
COX1			NaN
COX2			NaN
COX3			NaN
COX4I2			NaN
COX6A2			NaN
COX7A1			NaN
CSGALNACT1			NaN
CWH43			NaN
CYB			NaN
CYP1A1			NaN
CYP1A2			NaN
CYP26A1			NaN
CYP26C1			NaN
CYP2A13			NaN
CYP2A6			NaN
CYP2A7			NaN
CYP2C18			NaN
CYP2C19			NaN
CYP2C9			NaN
CYP2F1			NaN
CYP2J2			NaN
CYP2S1			NaN
CYP2W1			NaN
CYP3A4			NaN
CYP3A7			NaN
CYP4A11			NaN
CYP4A22			NaN
CYP4B1			NaN
CYP4F11			NaN
CYP4F12			NaN
CYP4F2			NaN
CYP4F22			NaN
CYP4F3			NaN
CYP4F8			NaN
CYP4Z1			NaN
CYP7A1			NaN
CYP8B1			NaN
DAO			NaN
DAOA			NaN
DCT			NaN
DDO			NaN
DGKB			NaN
DGKG			NaN
DHDH			NaN
DHRS9			NaN
DPEP2			NaN
EDN1			NaN
EDN2			NaN
EGLN3			NaN
ELOVL3			NaN
ENPP6			NaN
ENTPD3			NaN
ENTPD8			NaN
FBP2			NaN
FDX2			NaN
FITM1			NaN
FMO2			NaN
FMO3			NaN
FUT3			NaN
FUT5			NaN
FUT7			NaN
G6PC1			NaN
G6PC2			NaN
GAD1			NaN
GAD2			NaN
GAPDHS			NaN
GCKR			NaN
GDA			NaN
GFUS			NaN
GGT2P			NaN
GGT3P			NaN
GGTA1			NaN
GGTLC1			NaN
GGTLC2			NaN
GGTLC3			NaN
GHRL			NaN
GIMAP7			NaN
GIPR			NaN
GK2			NaN
GK3			NaN
GLS2			NaN
GLYATL1B			NaN
GLYATL2			NaN
GNMT			NaN
GOT1L1			NaN
GPAT2			NaN
GSTM1			NaN
GUCY2C			NaN
GUCY2D			NaN
GUCY2F			NaN
GYS2			NaN
HAL			NaN
HAO1			NaN
HAS1			NaN
HAS2			NaN
HCG_39985			NaN
HDC			NaN
HEL-S-123M			NaN
HEL-S-271			NaN
HK3			NaN
HMGCLL1			NaN
HMGCS2			NaN
HPD			NaN
HPGDS			NaN
HTD2			NaN
HYCC1			NaN
HYCC2			NaN
HYI			NaN
IDI2			NaN
IDO1			NaN
IDO2			NaN
IGF1			NaN
INPP5D			NaN
ITPKA			NaN
KGD4			NaN
LCT			NaN
LDHAL6A			NaN
LDHAL6B			NaN
LDHC			NaN
LEP			NaN
LGSN			NaN
LIPI			NaN
LPL			NaN
LTC4S			NaN
MCHR1			NaN
MFSD2A			NaN
MIF			NaN
MOCOS			NaN
MRAP2			NaN
MT3			NaN
MTFR2			NaN
MYH4			NaN
MYH6			NaN
MYH7			NaN
MYH8			NaN
NAIP			NaN
ND1			NaN
ND2			NaN
ND3			NaN
ND4			NaN
ND4L			NaN
ND5			NaN
ND6			NaN
NDST2			NaN
NDST4			NaN
NDUFA4L2			NaN
NDUFA7			NaN
NDUFV2			NaN
NEU2			NaN
NLRC4			NaN
NMRK2			NaN
NNMT			NaN
NOS1			NaN
NOS2			NaN
NOS3			NaN
NOX1			NaN
NPL			NaN
NPPA			NaN
NPPB			NaN
NPPC			NaN
NR4A3			NaN
NT5C1A			NaN
NT5C1B			NaN
NT5E			NaN
NUDT3			NaN
NUDT4B			NaN
OLAH			NaN
OTC			NaN
P3R3URF			NaN
PDE2A			NaN
PDHA2			NaN
PDX1			NaN
PDXP			NaN
PET117			NaN
PFKFB1			NaN
PGAM2			NaN
PGK2			NaN
PHKG1			NaN
PIGY			NaN
PIK3C2G			NaN
PIK3CG			NaN
PIK3R2			NaN
PLA2G10			NaN
PLA2G1B			NaN
PLA2G2C			NaN
PLA2G4D			NaN
PLA2G4E			NaN
PLA2G5			NaN
PLA2G7			NaN
PLSCR3			NaN
PM20D1			NaN
PNLIPRP2			NaN
PON1			NaN
PON3			NaN
PRG3			NaN
PRKACG			NaN
PRODH			NaN
PRPS1L1			NaN
PTGDS			NaN
PTGES			NaN
PTGS2			NaN
PTH			NaN
PTHLH			NaN
PYCARD			NaN
QNG1			NaN
RBP4			NaN
RIMKLA			NaN
SCO2			NaN
SDS			NaN
SI			NaN
SLA2			NaN
SLC16A8			NaN
SLC17A3			NaN
SLC22A12			NaN
SLC25A18			NaN
SLC25A2			NaN
SLC25A32			NaN
SLC2A2			NaN
SLC2A5			NaN
SLC45A2			NaN
SLC5A2			NaN
SOCS1			NaN
ST3GAL3			NaN
ST6GALNAC1			NaN
ST6GALNAC5			NaN
ST6GALNAC6			NaN
ST8SIA3			NaN
ST8SIA5			NaN
ST8SIA6			NaN
STBD1			NaN
SULT1A3			NaN
SULT1B1			NaN
SULT1C3			NaN
SULT2A1			NaN
SULT2B1			NaN
TAFAZZIN			NaN
TAT			NaN
TDO2			NaN
TECRL			NaN
TFF1			NaN
TH			NaN
THEM5			NaN
TKTL1			NaN
TPTE2			NaN
TREH			NaN
TTR			NaN
TYR			NaN
UCP1			NaN
UGT1A1			NaN
UGT1A10			NaN
UGT1A3			NaN
UGT1A4			NaN
UGT1A5			NaN
UGT1A6			NaN
UGT1A7			NaN
UGT1A8			NaN
UGT1A9			NaN
UGT2A1			NaN
UGT2A2			NaN
UGT2B10			NaN
UGT2B11			NaN
UGT2B15			NaN
UGT2B17			NaN
UGT2B28			NaN
UPB1			NaN
UQCC4			NaN
UQCC5			NaN
UQCC6			NaN
UQCRFS1P1			NaN
URAD			NaN
UROC1			NaN
VNN1			NaN
VNN2			NaN
ZNF183			NaN
